"Title","Publication number","Publication date","Inventor(s)","Applicant(s)","International classification","Cooperative Patent Classification","Application number","Date of application","Priority number(s)","Patents cited in the search report","Literature cited in the search report","Patents cited during examination","Literature cited during examination","Other patent citations","Other literature citations","Patents used in opposition","Literature used in opposition","Patents cited by the applicant","Literature cited by the applicant","International search citation","International search NPL citation","Supplementary international search citation","Supplementary international search NPL citation"
"VARIABLE FORCE EXOSKELETON HIP JOINT","US10195736 (B2); US2017014993 (A1)","2017-01-19","BARNES GAVIN A [US]","LOCKHEED CORP [US]","B25J9/00","B25J9/0006; B25J19/0016","US201514801941","20150717","US201514801941 20150717","US9662262 (B2); US2006064047 (A1); US2009292369 (A1); US2010076360 (A1); US2010152630 (A1); US2013197408 (A1); US2014276264 (A1); US2014330431 (A1); US2014358053 (A1); US2015081036 (A1); US2015173992 (A1); US2015313786 (A1); US2016015589 (A1); US2016016307 (A1); US2016038313 (A1); US2016184165 (A1); US2016262969 (A1); US2017181917 (A1)","","","","","","","","US2010482 (A); US3964182 (A); US4258556 (A); US5016869 (A); US5020790 (A); US5054476 (A); US5865426 (A); US5993404 (A); US6886812 (B2); US6913583 (B2); US7153242 (B2); US7163518 (B1); US7571839 (B2); US7628766 (B1); US7883546 (B2); US7947004 (B2); US8057410 (B2); US8070700 (B2); US8171570 (B2); US8231688 (B2); US8257291 (B2); US8394038 (B2); US8672865 (B2); US8702632 (B2); US8801641 (B2); US8894592 (B2); US8945028 (B2); US8968222 (B2); US9011354 (B2); US9492300 (B2); US2003073552 (A1); US2003109817 (A1); US2003115954 (A1); US2004237351 (A1); US2005137717 (A1); US2006107433 (A1); US2006260620 (A1); US2007056592 (A1); US2007123997 (A1); US2007233279 (A1); US2008234608 (A1); US2009210093 (A1); US2010094185 (A1); US2010210980 (A1); US2010254696 (A1); US2010324699 (A1); US2011040216 (A1); US2011105966 (A1); US2011166489 (A1); US2011201978 (A1); US2011214524 (A1); US2011264014 (A1); US2011266323 (A1); US2012004736 (A1); US2012172770 (A1); US2012192461 (A1); US2012283845 (A1); US2012292361 (A1); US2013023800 (A1); US2013102935 (A1); US2013150980 (A1); US2013231595 (A1); US2013237884 (A1); US2013296746 (A1); US2013303950 (A1); US2013331744 (A1); US2014046234 (A1); US2014094729 (A1); US2014200491 (A1); US2015001269 (A1); US2015134080 (A1); US2015272809 (A1); US2015321340 (A1); US2015366694 (A1); US2016058647 (A1); US2016067550 (A1); US2017014297 (A1); US2017061828 (A1); US2017303849 (A1); JPH03105191U (U); JP3024978U (U); JP2003104682 (A); JP2009011818 (A); WO2012154580 (A1); WO2014159608 (A1)","","","","",""
"RESISTIVE EXOSKELETON CONTROL DESIGN FRAMEWORK","US2017014296 (A1); US9782322 (B2)","2017-01-19","NAGARAJAN UMASHANKAR [IN];  GOSWAMI AMBARISH [US]","HONDA MOTOR CO LTD [JP]","A61H3/00; A63B23/035; A63B23/04","A61H3/00; A63B21/023; A63B21/065; A63B23/0405; A63B24/0087; B25J9/1633; G05D3/12; A63B21/00178; A63B21/00181; A63B21/00189; A63B21/068; A63B21/15; A63B21/4007; A63B21/4009; A63B21/4011; A63B21/4015; A63B21/4033; A63B21/4047; A63B23/03541; A63B2024/0093; A63B2071/0063; A63B2220/70; A63B2220/78; G05B2219/39339; G05B2219/39343","US201514801455","20150716","US201514801455 20150716","","","","","","","","","US7252644 (B2); US7774177 (B2); US8070700 (B2); US8171570 (B2); US2012259431 (A1); US2012330198 (A1); US2013040783 (A1); US2014081421 (A1); US2014100493 (A1); US2014213951 (A1); US2014277739 (A1); WO2014109799 (A1)","","","","",""
"EXOSKELETON SLIPPER","US2017014297 (A1)","2017-01-19","GRYGOROWICZ SERGE [FR];  RIGLET AURÉLIE [FR];  PERRIN ANTOINE [FR]","ROBOTIQUES 3 DIMENSIONS [FR]","A61H3/00; A43B3/00; A43B7/32; A43C19/00; A61B5/103; A61B5/11; B25J9/00","A43B3/0005; A43B7/32; A43C19/00; A61B5/1036; A61B5/112; A61B5/1123; A61H3/00; B25J9/0006; A61H2003/001; A61H2205/12","US201515124234","20150310","FR20140051981 20140311; WO2015FR50593 20150310","","","","","","","","","","","","","",""
"LOWER LIMB REHABILITATION METHOD AND APPARATUS USING THE METHOD","US10052252 (B2); US2017007489 (A1)","2017-01-12","LIN WEN-BIN [TW];  HSIEH FU-HAN [TW]","HIWIN TECH CORP [TW]","A61H1/02","A61B5/04888; A61H1/0237; A61H1/0262; G06F19/3481; G16H20/30; G16H40/63; A61H2201/1635; A61H2201/164; A61H2201/1642; A61H2201/1666; A61H2201/1676; A61H2201/5007; A61H2201/5035; A61H2201/5043; A61H2203/0406; A61H2230/60; A61H2230/605","US201514796392","20150710","US201514796392 20150710; EP20150176013 20150709; JP20150042062 20150304","US2004106881 (A1); US7125388 (B1); US2008255488 (A1); US2010094188 (A1); US2011201978 (A1); US2012004736 (A1); US2013090580 (A1); US2013158444 (A1); US2013197408 (A1); US2013253705 (A1); US8585620 (B2); US2014142475 (A1); US2014172166 (A1); US2016030201 (A1); US2017181916 (A1); US2017246740 (A1); US9801772 (B2); US2017281453 (A1); US2017340504 (A1); CN101791255 (A); US7125388 (B1); US8585620 (B2); US9801772 (B2); US2004106881 (A1); US2008255488 (A1); US2010094188 (A1); US2011201978 (A1); US2012004736 (A1); US2013090580 (A1); US2013158444 (A1); US2013197408 (A1); US2013253705 (A1); US2014142475 (A1); US2014172166 (A1); US2016030201 (A1); US2017181916 (A1); US2017246740 (A1); US2017281453 (A1); US2017340504 (A1); CN101791255 (A)","","","","","","","","","","","","",""
"EXOSKELTON TO BE WORN ON THE FRONT AND METHOD FOR USING SUCH AN EXOSKELETON","US10391626 (B2); US2017001303 (A1)","2017-01-05","GRYGOROWICZ SERGE [FR];  RIGLET AURÉLIE [FR]","ROBOTIQUES 3 DIMENSIONS [FR]","B25J9/00","B25J9/0006","US201515113704","20150129","FR20140050696 20140129; WO2015FR50209 20150129","US3449769 (A); US3923166 (A); US3964182 (A); US4208028 (A); US4394075 (A); USRE32213E (E); US4957320 (A); US5360196 (A); US5435515 (A); US6355335 (B1); US6666796 (B1); US6764231 (B1); US6923505 (B2); US7153242 (B2); US7857774 (B2); US8060945 (B2); US8142083 (B2); US8147436 (B2); US8152699 (B1); US8474672 (B1); US8506180 (B2); US8985878 (B2); US9095981 (B2); US9682006 (B2); US9789023 (B1); US9808390 (B2); US9855181 (B2); US9884421 (B2); US2003004444 (A1); US2003223844 (A1); US2005258210 (A1); US2005279796 (A1); US2006260620 (A1); US2006276728 (A1); US2007056592 (A1); US2007123997 (A1); US2007241696 (A1); US2009210093 (A1); US2010059652 (A1); US2010094185 (A1); US2010094188 (A1); US2010254696 (A1); US2011066088 (A1); US2011082566 (A1); US2011164949 (A1); US2011264014 (A1); US2011266323 (A1); US2011295164 (A1); US2012172770 (A1); US2012292361 (A1); US2013102935 (A1); US2013158445 (A1); US2013197408 (A1); US2013228602 (A1); US2013303950 (A1); US2014064720 (A1); US2014100493 (A1); US2014121573 (A1); US2014163435 (A1); US2014200491 (A1); US2014212243 (A1); US2014276261 (A1); US2014276263 (A1); US2014276264 (A1); US2014276265 (A1); US2014366323 (A1); US2015001269 (A1); US2015016923 (A1); US2015025423 (A1); US2015048134 (A1); US2015076196 (A1); US2015142130 (A1); US2015209214 (A1); US2015289997 (A1); US2016008206 (A1); US2016031076 (A1); US2016045386 (A1); US2016250093 (A1); US2016270997 (A1); US2016296345 (A1); US2017049659 (A1); US2017071812 (A1); US2017143573 (A1); US2017156895 (A1); US2017281453 (A1); US2017340504 (A1); US2018049903 (A1); US2018055712 (A1)","","","","","","","","JP2007130234 (A); WO2013106532 (A1)","","","","",""
"Ambulatory Exoskeleton and Method of Relocating Exoskeleton","US10213357 (B2); US2017000682 (A1)","2017-01-05","HARDING NATHAN [US];  ZOSS ADAM [US]","EKSO BIONICS INC [US]","A61H3/00; A61H1/02; B62D57/032","A61H1/024; A61H1/0244; A61H1/0262; A61H3/00; B62D57/032; A61H2201/1635; A61H2201/165; A61H2201/5023; A61H2201/5035","US201515125847","20150319","US201515125847 20150319; WO2015US21467 20150319; US201461968664P 20140321","US2014188279 (A1); US2014188275 (A1); US2011264014 (A1); US2003093021 (A1); US2012068422 (A1); US2013268120 (A1); US2006206167 (A1); US5828813 (A); US2011313331 (A1); US2013158445 (A1); US5828813 (A); US2003093021 (A1); US2006206167 (A1); US2011264014 (A1); US2011313331 (A1); US2012068422 (A1); US2013158445 (A1); US2013268120 (A1); US2014188275 (A1); US2014188279 (A1)","","","","","","","","US4697808 (A); US5020790 (A); US8070700 (B2); US8079433 (B2); US8579838 (B2); US8690802 (B2); US2013231595 (A1); US2013253385 (A1); US2014012164 (A1); US2014100493 (A1); US2014142475 (A1); GB2301776 (A); JP2009095577 (A); WO2009051574 (A1); WO2012027336 (A1); WO2013142777 (A1); WO2014113456 (A1)","","","","",""
"Adjustable dual function spinal exoskeleton active spinal orthosis","US9522077 (B1)","2016-12-20","JOHNSON ALWYN PATRICE [US]","JOHNSON ALWYN PATRICE [US]","A61F5/00; A61F5/02","A61F5/02","US201313899541","20130521","US201313899541 20130521; US201261649787P 20120521","US4807605 (A); US5135471 (A); US2004133138 (A1); US2011105971 (A1)","","","","","","","","","","","","",""
"LINED MOLD FOR CENTRIFUGAL CASTING","US2016339511 (A1); US9764381 (B2)","2016-11-24","DIGARD BROU DE CUISSART SÉBASTIEN [FR];  PIATON VALÉRY [FR];  SOISSON MARC [FR]","SAFRAN AIRCRAFT ENGINES [FR]","B22D13/10","B22D13/10; B22D13/101; B22D13/102","US201515115148","20150129","FR20140050799 20140131; WO2015FR50208 20150129","US2016339512 (A1); US2378042 (A); US4031947 (A); US6776214 (B2); US2005011627 (A1); US2378042 (A); US4031947 (A); US6776214 (B2); US2005011627 (A1); US2016339512 (A1)","","","","","","","","US6443212 (B1); EP0992305 (A1)","","","","",""
"Hybrid vehicle packaging system","US9499205 (B1)","2016-11-22","ELIA PAUL [US];  THAKOLKARAN JUSTIN I [US];  JAROCKI COREY JOHN [US];  SHERWOOD WILLIAM MOORE [US];  DOYLE II JOHN PATRICK [US]","FORD GLOBAL TECH LLC [US]","B60K37/00; B60K1/04; B60K6/28; B60K15/063; B62D21/15; B62D21/16","B60K1/04; B60K6/28; B60K15/063; B62D21/03; B62D21/15; B62D25/20; B60K2001/0422; B60K2001/0438; B60K2015/0632; B60K2015/0634; B60Y2200/92; B60Y2306/01; B60Y2400/104; B60Y2400/112; Y10S903/907; Y10S903/951","US201514862452","20150923","US201514862452 20150923","US5673939 (A); US6076858 (A); US7614473 (B2); US7743863 (B2); US8556336 (B2); US8602454 (B1); US8881853 (B2); US8978617 (B2); US9211917 (B1); US2003037987 (A1); US2004245033 (A1); US2008000703 (A1); US2010052351 (A1); US2010114762 (A1); US2011132676 (A1); US2011168468 (A1); US2012090907 (A1); US2012212009 (A1); US2012255799 (A1); US2012312610 (A1); US2013175829 (A1); US2014079977 (A1); US2014103627 (A1); US2015343900 (A1); US2016039462 (A1); US2016226041 (A1)","","","","","","","","US7427093 (B2); US8827023 (B2); EP2468609 (A2); JP2013107592 (A); JP2014019260 (A); JP5459511B (B2)","","","","",""
"Exoskeleton Ankle Robot","US10426637 (B2); US2016331557 (A1)","2016-11-17","TONG KAI-YU [HK];  YEUNG LING FUNG [HK];  OCKENFELD CORINNA URSULA [HK];  HO SZE KIT [HK];  WAI HON-WAH [HK];  PANG MAN-KIT [HK]","UNIV HONG KONG POLYTECHNIC [HK]","A61F2/66; A61H3/06","A61F2/6607; A61H1/0266; A61H3/00; A61H2201/164; A61H2201/165; A61H2201/5007; A61H2201/5061; A61H2201/5069; A61H2201/5079; A61H2201/5084; A61H2201/5097; A61H2230/625","US201514745460","20150621","US201514745460 20150621; US201562159955P 20150511","US2017027735 (A1); US2015374573 (A1); US2014002762 (A1); US8720831 (B2); US2014027626 (A1); US2013029674 (A1); CN103610569 (A); US2015374573 (A1); US2017027735 (A1); US2009004335 (A1); US2014002762 (A1); US8720831 (B2); CN103610569 (A); US8720831 (B2); US2009043357 (A1); US2014002762 (A1); US2015374573 (A1); US2017027735 (A1)","","","","","","","","US2516872 (A); US3064644 (A); US4314227 (A); US4474176 (A); US4601206 (A); US4722239 (A); US5176623 (A); US6171272 (B1); US6350246 (B1); US6666796 (B1); US6752774 (B2); US7485074 (B2); US7524297 (B2); US7628766 (B1); US7691076 (B2); US7771373 (B2); US7774177 (B2); US7998096 (B1); US8075633 (B2); US8079967 (B2); US8096965 (B2); US8221341 (B1); US8287477 (B1); US8353854 (B2); US8376971 (B1); US8382694 (B2); US8439852 (B2); US8512415 (B2); US8591438 (B2); US8684890 (B2); US8771211 (B2); US8777884 (B2); US8801641 (B2); US8808214 (B2); US8814815 (B2); US2003009308 (A1); US2004193318 (A1); US2005059908 (A1); US2006084899 (A1); US2006149338 (A1); US2007027409 (A1); US2007049858 (A1); US2007123997 (A1); US2010076346 (A1); US2011071443 (A1); US2011112447 (A1); US2011298343 (A1); US2013296741 (A1); US2014109443 (A1); US2014276264 (A1); CN1586434 (A); CN201168163Y (Y); CN101623547 (A); CN201642750U (U); CN101596139 (A); CN102113949 (A); CN201888908U (U); CN202078502U (U); CN102961231 (A); CN103006357 (A); CN102068367 (A); CN102327173 (A); CN102225034 (A); CN102631275 (A); CN103584977 (A); CN103610567 (A); CN103610569 (A); CN103816029 (A)","","","","",""
"Interactive Exoskeleton Robotic Knee System","US10390973 (B2); US2016331560 (A1)","2016-11-17","TONG KAI-YU [HK];  OCKENFELD CORINNA URSULA [HK];  YEUNG LING FUNG [HK];  HO SZE KIT [HK];  WAI HON-WAH [HK];  PANG MAN-KIT [HK]","UNIV HONG KONG POLYTECHNIC [HK]","A61F2/70; A61B5/11; A61F2/64; A61H3/00","A61B5/1038; A61B5/112; A61B5/1121; A61B5/1123; A61B5/6812; A61B5/6828; A61F2/64; A61F2/70; A61H1/024; A61H3/00; A61B2562/0219; A61B2562/0252; A61H2201/1207; A61H2201/1215; A61H2201/1463; A61H2201/164; A61H2201/165; A61H2201/1676; A61H2201/5007; A61H2201/5069; A61H2201/5079; A61H2201/5084; A61H2201/5097","US201514745462","20150621","US201514745462 20150621; US201562159951P 20150511","US2009043357 (A1); US9445931 (B2); US2017128311 (A1); US2015196403 (A1); US2015190249 (A1); US2013102934 (A1); US2016270997 (A1); US9345592 (B2); US9211201 (B2); US9566705 (B2); US2016095538 (A1); US2015173929 (A1); US2015025423 (A1); US9554922 (B2); US2013296741 (A1); US9445931 (B2); US2013296741 (A1); US2016095538 (A1); US2015025423 (A1); US2017128311 (A1); US9211201 (B2); US9566705 (B2); US9554922 (B2); US2015173929 (A1); CN103610569 (A); US9345592 (B2); US2015190249 (A1); US2016270997 (A1); US2015196403 (A1); US2013102934 (A1); US2009043357 (A1); US9211201 (B2); US9345592 (B2); US9445931 (B2); US9554922 (B2); US9566705 (B2); US2009043357 (A1); US2013102934 (A1); US2013296741 (A1); US2015025423 (A1); US2015173929 (A1); US2015190249 (A1); US2015196403 (A1); US2016095538 (A1); US2016270997 (A1); US2017128311 (A1)","","","","","","","","US3449769 (A); US3553738 (A); US6834752 (B2); US6867685 (B1); US6955692 (B2); US7190141 (B1); US7393335 (B2); US7731670 (B2); US7774177 (B2); US7947004 (B2); US8057410 (B2); US8096965 (B2); US8623098 (B2); US8679040 (B2); US2010125229 (A1); US2010241242 (A1); US2010256537 (A1); US2011040216 (A1); US2011066088 (A1); US2011264014 (A1); US2011266323 (A1); US2013190669 (A1); US2013226048 (A1); US2013253385 (A1); US2013296746 (A1); US2014100493 (A1); US2014172168 (A1); US2014200491 (A1); US2014276304 (A1); CN102574285 (A); CN103006362 (A); CN103260576 (A); CN103356363 (A); CN104582668 (A)","","","","",""
"CENTERLESS WHEEL ASSEMBLY","US2016325585 (A1); US9789017 (B2)","2016-11-10","HAYS MARCUS G [US];  STREETER SCOTT [US];  LEO GARY [US];  RICE RICHARD [US]","ORBIS WHEELS INC [US]","B60B19/00; B60B21/02; B60B21/12; B60K7/00; F16H15/02","A61G5/045; A61G5/1054; A61G5/1089; B60B19/00; B60B21/02; B60B21/12; B60K7/00; B60K7/0007; B60K17/043; B60L3/00; A61G5/04; A61G5/10; A61G2203/10; B60K2007/0046; B60K2007/0061; B60Y2200/84","US201615146729","20160504","US201615146729 20160504; US201562179357P 20150504","US1819924 (A); US6871735 (B2); US4163567 (A); US1819924 (A); US4163567 (A); US6871735 (B2)","","","","","","","","US2843426 (A); US2996306 (A); US3329444 (A); US3663031 (A); US5248019 (A); US5419619 (A); US5826674 (A); US6135475 (A); US6224080 (B1); US6705630 (B1); US6839939 (B2); US7014272 (B1); US7426970 (B2); US7657969 (B2); US7980568 (B2); US8113524 (B2); US8376378 (B2); US8464822 (B2); US8523212 (B2); US8746383 (B2); US2003085065 (A1); US2004036248 (A1); US2011074127 (A1); US2011181014 (A1); US2011209938 (A1); US2012175179 (A1); US2012299371 (A1); US2013087983 (A1); US2014058600 (A1); US2016068056 (A1); CN102328680 (A)","","","","",""
"LIGHTWEIGHT CONTAINER","US10029597 (B2); US2016311611 (A1)","2016-10-27","REYNOLDS GRANT CHRISTOPHER [AU]","MIS CARBONART PTY LTD [AU]","B65D88/12; B61F5/50; B62D33/02; B65D90/00","B60P1/286; B61D9/06; B61F1/08; B62D33/02; B62D33/04; B65D88/123; B65D90/0066","US201415105188","20141216","AU20130904911 20131216; AU20130905020 20131220; AU20140900295 20140131; WO2014AU01128 20141216","US7530627 (B2); US7845511 (B1); US2017144830 (A1); EP1690810 (A2)","","","","","","","","US7997213 (B1); US2006118504 (A1); US2010264137 (A1); GB914720 (A)","","","","",""
"ROBOTIC FINGER EXOSKELETON","US2016296345 (A1)","2016-10-13","DESHPANDE ASHISH [US];  AGARWAL PRIYANSHU [US]","UNIV TEXAS [US]","A61F2/58; A61H1/02; A63B21/00; B25J9/00","A61F2/586; A61H1/0288; A63B21/152; A63B21/4019; B25J9/0006; A61F2002/5007; A61F2002/5093; A61H2201/0165; A61H2201/1215; A61H2201/149; A61H2201/1635; A61H2201/165; A61H2201/1676; A61H2201/501; A61H2201/5038; A61H2201/5043; A61H2201/5046; A61H2201/5069; A61H2205/067","US201615184547","20160616","US201615184547 20160616; WO2014US71049 20141218; US201361917411P 20131218","","","","","","","","","","","","","",""
"System And Method For User-Controlled Exoskeleton Gate Control","US10342725 (B2); US2016287463 (A1)","2016-10-06","YUE GUANG [US]","KESSLER FOUND INC [US]","A61H3/00; A61F2/68; A61H3/02","A61F2/68; A61H1/0244; A61H3/00; A61H3/02; A61H2003/007; A61H2201/0173; A61H2201/165; A61H2201/5023; A61H2201/5061; A61H2201/5097","US201514679419","20150406","US201514679419 20150406","US2013158445 (A1); US2013231595 (A1); US2013237884 (A1); US2014196757 (A1); US2014358290 (A1); US2013158445 (A1); US2013231595 (A1); US2013237884 (A1); US2014196757 (A1); US2014358290 (A1); US2015351991 (A1)","","","","","","","","US7153242 (B2); US7190141 (B1); US7346396 (B2); US8096965 (B2); US8231688 (B2); US8348875 (B2); US8419804 (B2); US2007123997 (A1); US2011105966 (A1); US2011166489 (A1); US2012004736 (A1); US2012101415 (A1); US2012172770 (A1)","","","","",""
"LOWER-LEG EXOSKELETON SYSTEM AND METHOD","US2016278948 (A1)","2016-09-29","PIERCY BRENTON [US];  SWIFT TIM [US];  NUCCI GIANCARLO [US];  LAMB CALLUM [US];  LYNN PETE [US];  GRIFFITH SAUL [US];  LUCE LEANNE [US]","OTHER LAB LLC [US]","A61F2/68; A61F2/60; A61H3/00","A43B3/0005; A43B7/147; A43B7/20; A43B13/20; A61F2/60; A61F2/68; A61F5/0127; A61H1/0266; A61H3/00; A61F2002/501; A61F2002/74; A61F2002/745; A61F2005/0155; A61H2003/007; A61H2201/0103; A61H2201/1238; A61H2201/165; A61H2201/5007; A61H2201/5061; A61H2201/5069; A61H2205/106; A61H2205/12; A61H2230/207; A61H2230/30; A61H2230/50; A61H2230/60","US201615082824","20160328","US201615082824 20160328; US201562139184P 20150327","US4274399 (A); US2006069336 (A1); US2008195005 (A1); US2011118635 (A1); US2012289870 (A1); US8784350 (B2); US2015209214 (A1); US2012289870 (A1); US2011006608 (A1); US2011118635 (A1); US8784350 (B2); US2006069336 (A1); US2015209214 (A1); US4274399 (A); US2008195005 (A1)","","","","","","","","","","","","",""
"A TUBULAR FRAME APPLIED TO A SUGAR-CANE HARVESTER","US10130034 (B2); US2016278291 (A1)","2016-09-29","MARCHESAN JOSE LUIZ ALBERTO [BR]","MARCHESAN IMPLEMENTOS E MÁQUINAS AGRÌCOLAS TATÚ S A [BR]","A01D45/10; A01D57/22; A01D61/02","A01D45/10; A01D57/22; A01D61/02","US201415035102","20141106","WO2014BR50007 20141106; BR20131028618 20131106","US2648943 (A); US3791114 (A); US4249366 (A); US4271661 (A); US2008022648 (A1); US7681388 (B1); US7694501 (B1); US8240115 (B2); US2015327437 (A1); US2015331408 (A1); US2015359177 (A1); JP2000102314 (A); JP2009077695 (A); US5332281 (A); US4629005 (A); US4060960 (A); US4045075 (A); US3351151 (A); US3292969 (A); US2974464 (A); US2013319785 (A1); US2013056293 (A1); US2013015012 (A1); US2010102596 (A1); US2007281523 (A1); US2006186699 (A1); US2002175007 (A1); US2002011743 (A1); US2648943 (A); US2974464 (A); US3292969 (A); US3351151 (A); US3589744 (A); US3791114 (A); US4045075 (A); US4060960 (A); US4249366 (A); US4271661 (A); US4348856 (A); US4483131 (A); US4629005 (A); US4646512 (A); US5332281 (A); US6016877 (A); US6688803 (B2); US7555888 (B1); US7681388 (B1); US7694501 (B1); US8240115 (B2); US2002011743 (A1); US2002175007 (A1); US2005257939 (A1); US2006186699 (A1); US2007281523 (A1); US2008022648 (A1); US2008295476 (A1); US2010102596 (A1); US2010307121 (A1); US2013015012 (A1); US2013056293 (A1); US2013319785 (A1); US2015327437 (A1); US2015331408 (A1); US2015359177 (A1); US2016257360 (A1); US2017043822 (A1); US2017101134 (A1); US2017280626 (A1); BR8305505 (A); BR9500633 (A); CN203872556U (U); JP2000102314 (A); JP2009077695 (A)","","","","","","","","WO2009095763 (A2); WO2011043744 (A1)","","","","",""
"Mobility Aid","US2016270997 (A1)","2016-09-22","LITTLE RICHARD [NZ];  CLEMENT DUNCAN MATTHEW [NZ];  SHISHBARADARAN JEHANGIR DINYAR [NZ]","REX BIONICS LTD [NZ]","A61H1/02","A61H1/024; A61H1/0244; A61H1/0262; A61H1/0266; A61H3/00; B25J9/0006; A61H2201/0192; A61H2201/1215; A61H2201/123; A61H2201/149; A61H2201/1628; A61H2201/163; A61H2201/164; A61H2201/1642; A61H2201/165; A61H2201/1676; A61H2201/501; A61H2201/5035; A61H2201/5046; A61H2201/5061; A61H2201/5064; A61H2201/5097; A61H2203/0406; A61H2205/10; A61H2230/855","US201615169307","20160531","WO2013NZ00217 20131129","","","","","","","","","","","","","",""
"MULTI-FUNCTION PORTABLE DATA MANAGEMENT AND PROCESSING SYSTEM","US2016266913 (A1); US9977481 (B2)","2016-09-15","ACHILLOPOULOS EVANGELOS [GR]","ACHILLOPOULOS EVANGELOS [GR];  MOTIONFX SYSTEMS [GR]","G06F9/445; G06F1/32; G06F9/455","G06F1/1628; G06F1/182; G06F1/3234; G06F9/45558; G06F11/1464; G06F11/1469; G06F11/2038; G06F2009/45575; G06F11/1456","US201615099507","20160414","US201615099507 20160414; US201562147576P 20150414","US2007186251 (A1); US2008113676 (A1); US2010159877 (A1); US2015249586 (A1); US2007186251 (A1); US2008113676 (A1); US2010159877 (A1); US2015249586 (A1)","","","","","","","","","","","","",""
"AIRCRAFT GALLEY MONUMENT STRUCTURE","US10029795 (B2); US2016264242 (A1)","2016-09-15","BURD PETER JOHN LESLIE [GB]","B/E AEROSPACE INC [US]","B64D11/00; B64D11/04","B64D11/0007; B64D11/0015; B64D11/003; B64D11/04; B64D2011/0046; B64D2011/0076; Y02T50/46","US201615164426","20160525","US201615164426 20160525; US201313850781 20130326; US201261616904P 20120328","US3995081 (A); US4219980 (A); US4715560 (A); US5024399 (A); US5083727 (A); US5462618 (A); US6257523 (B1); US6655633 (B1); US7565903 (B2); US7654487 (B2); US7780114 (B2); US7954761 (B2); US8034453 (B2); US8087611 (B2); US8136762 (B2); US8382033 (B2); US8387916 (B2); US8785779 (B1); US2007228216 (A1); US2008150406 (A1); US2009283636 (A1); US2009283638 (A1); US2009317587 (A1); US2009321574 (A1); US2010224726 (A1); US2012076973 (A1); US2012085862 (A1); US2012217343 (A1); US2012285335 (A1); US2013126672 (A1); US2013206907 (A1); US2013259562 (A1); US2013306794 (A1); DE102009005478 (B4)","","","","","","","","","","","","",""
